Region,Cases in the last 7 days,Cases in the preceding 7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceding 7 days,Weekly Death % Change,Deaths in the last 14 days/1M pop,Population
Europe,901246,878882,3 %,,3904,3073,9 %,12.70972654,548949655
Scandinavia,12700,11319,n,n,18,17,n,1.631138604,21457404
UK,237151,212749,11 %,3472,770,672,15 %,21.11385606,68296383
France,135663,158373,-14 %,2073,672,616,9 %,19.68221144,65439801
Spain,64317,8012,-20 %,1375,857,597,44 %,31.08456063,46775633
Germany,59436,40193,48 %,707,150,99,52 %,2.961030907,84092334
Italy,4561,43583,5 %,756,323,300,8 %,10.32150494,60359415
Greece,23146,21985,5 %,2233,222,139,60 %,34.83082735,10364382
Switzerland,17815,16908,5 %,2041,28,13,115 %,4.697830931,8727432
Netherlands,17319,17032,2 %,1008,49,39,26 %,5.122675862,17178522
Portugal,16296,16176,+0.7%,1604,76,88,-14 %,16.13783284,10162455
Belgium,13742,1363,+0.8%,118,43,23,87 %,5.666366893,11647675
Serbia,13178,8819,49 %,1515,52,36,44 %,10.11864456,8696817
Ireland,12989,12269,6 %,2597,18,15,20 %,6.598424296,5001194
Belarus,9193,7788,18 %,973,74,77,-4 %,15.98603731,9445743
Austria,8798,6934,27 %,970,12,7,71 %,2.095850987,9065530
North Macedonia,6973,5785,21 %,3347,174,81,115 %,122.4034273,2083275
Denmark,675,6827,-1 %,1161,11,7,57 %,3.095080353,5815681
Norway,6476,3847,68 %,1184,3,4,-25 %,1.279707028,5470002
Sweden,5549,645,-14 %,546,4,6,-33 %,0.983117803,10171721
Romania,4735,308,54 %,248,91,45,102 %,7.124235723,19089767
Montenegro,4392,3106,41 %,6992,42,22,91 %,101.8851945,628158
Finland,4099,4881,-16 %,738,10,13,-23 %,4.143673035,5550631
Lithuania,4089,3816,7 %,1527,47,29,62 %,28.37441837,2678469
Croatia,3204,237,35 %,786,22,16,38 %,9.322666567,4076087
Bosnia and Herzegovina,3045,1809,68 %,935,49,23,113 %,22.1042103,3257298
Moldova,2814,1976,42 %,699,46,40,15 %,21.37622099,4023162
Slovenia,2588,1702,52 %,1245,6,5,20 %,5.29032587,2079267
Estonia,2185,1938,13 %,1646,5,2,150 %,5.272823416,1327562
Poland,1406,1301,8 %,37,21,20,5 %,1.084688625,37798866
Czechia,1283,1337,-4 %,120,5,9,-44 %,1.304527381,10731856
Latvia,1035,837,24 %,556,4,6,-33 %,5.370142438,1862148
Hungary,736,569,29 %,76,10,9,11 %,1.972572726,9632091
Slovakia,647,497,30 %,118,0,3,-100 %,0.549180284,5462687
Iceland,527,670,-21 %,1533,1,0,100 %,2.908743975,343791
Luxembourg,524,373,40 %,822,0,3,-100 %,4.704598274,637674
Malta,348,511,-32 %,786,3,6,-50 %,20.32075178,442897
Isle of Man,341,380,-10 %,3986,1,1,0 %,23.37786817,85551
Channel Islands,285,338,-16 %,1622,2,1,100 %,17.07397585,175706
Monaco,65,65,0 %,1643,0,0,0 %,0,39562
Gibraltar,52,73,-29 %,1544,0,1,-100 %,29.692093,33679
Liechtenstein,52,71,-27 %,1359,0,0,0 %,0,38254
Andorra,35,73,-52 %,452,1,0,100 %,12.91872828,77407
San Marino,11,26,-58 %,323,0,0,0 %,0,34013
Faeroe Islands,4,8,-50 %,82,0,0,0 %,0,49077
